(15/05/2023) WARNING -> Unable to locate font file for pricedown_bl (fonts/pdark.ttf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for Perfect Dark (fonts/pdark.ttf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for Regular (fonts/pdark.ttf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for BRK (fonts/pdark.ttf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for BRK (fonts/pdark.ttf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for pricedown_bl (fonts/pricedown_bl.otf) [raised in text.cpp:187]
(15/05/2023) WARNING -> Unable to locate font file for pricedown_bl (fonts/pricedown_bl.otf) [raised in text.cpp:187]
(16/05/2023) WARNING -> Play Sound Effect called, but no valid sound effect supplied [raised in sound.cpp:132]
(16/05/2023) WARNING -> Play Sound Effect called, but no valid sound effect supplied [raised in sound.cpp:132]
(16/05/2023) WARNING -> Play Sound Effect called, but no valid sound effect supplied [raised in sound.cpp:132]
(16/05/2023) WARNING -> Play Sound Effect called, but no valid sound effect supplied [raised in sound.cpp:132]
(16/05/2023) WARNING -> Attempted to convert .5 to an integer. [raised in utility_functions.cpp:385]
(16/05/2023) WARNING -> Error in animation roadLineAnimation.txt. Animation contains a loop with duration 0 starting at cell 1 [raised in animations.cpp:412]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Error in animation roadLineAnimation.txt. Animation contains a loop with duration 0 starting at cell 1 [raised in animations.cpp:412]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(16/05/2023) WARNING -> Attempting to use invalid animation script [raised in sprites.cpp:707]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
(17/05/2023) WARNING -> Unable to locate file for bells (/home/lamkie/Desktop/arcade-games-2D-Racer-Demo/games/2dRacerDemo/Resources/sounds/Resources/sound/arcade.wave) [raised in sound.cpp:79]
